NOMOR,NAMA ITEM
JLP05-18D01964,['BELVITA MADU DAN COKLAT 80 GR']
JLP05-18D01968,['CLASSMILD 16 BTG']
JLP05-18D01978,['ADES 600ML']
JLP05-18D01988,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02002,['CORNETTO CLASICO BLACK & WHITE']
JLP05-18D02019,['ADES 600ML']
JLP05-18D02025,"['AIR MINUM ADES 1,5 L']"
JLP05-18D02040,"['AIR MINUM ADES 1,5 L']"
JLP05-18D02047,['ADES 600ML']
JLP05-18D02062,['ADES 600ML']
JLP05-18D02070,['ADES 600ML']
JLP05-18D02081,['ADES 600ML']
JLP05-18D02087,"[""CHARM EXTRA MAXI WING 5'S""]"
JLP05-18D02094,['ADES 600ML']
JLP05-18D02104,['CLASSMILD 16 BTG']
JLP05-18D02109,['CIMORY STW BOTOL250ML']
JLP05-18D02112,['ADES 600ML']
JLP05-18D02124,"['AIR MINUM ADES 1,5 L']"
JLP05-18D02129,['ADES 600ML']
JLP05-18D02151,['BELVITA MADU DAN COKLAT 80 GR']
JLP05-18D02152,['ADES 600ML']
JLP05-18D02162,['ADES 600ML']
JLP05-18D02177,['BISKUAT CKT 71.5 GR']
JLP05-18D02179,['ADES 600ML']
JLP05-18D02180,['ADES 600ML']
JLP05-18D02183,['ADES 600ML']
JLP05-18D02199,['ADES 600ML']
JLP05-18D02200,['ADES 600ML']
JLP05-18D02201,['APACHE BLACK GOLD 12 BATANG']
JLP05-18D02206,['ADES 600ML']
JLP05-18D02213,['ADES 600ML']
JLP05-18D02224,['CLASSMILD 16 BTG']
JLP05-18D02225,"['ADES 600ML', 'AIR MINUM ADES 1,5 L']"
JLP05-18D02232,"['AIR MINUM ADES 1,5 L']"
JLP05-18D02234,['BISKUAT CKT 71.5 GR']
JLP05-18D02243,"['AIR MINUM ADES 1,5 L', 'ADES 600ML']"
JLP05-18D02245,['CIMORY STW BOTOL250ML']
JLP05-18D02253,['CIMORY STW BOTOL250ML']
JLP05-18D02254,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02267,"['AIR MINUM ADES 1,5 L', 'ADES 600ML']"
JLP05-18D02269,['ADES 600ML']
JLP05-18D02304,"['AIR MINUM ADES 1,5 L']"
JLP05-18D02330,['CLASSMILD 16 BTG']
JLP05-18D02352,['ANIMAL CHOCOLATE CANDY']
JLP05-18D02367,"['AIR MINUM ADES 1,5 L']"
JLP05-18D02386,['ADES 600ML']
JLP05-18D02412,"['AIR MINUM ADES 1,5 L']"
JLP05-18D02446,['ADES 600ML']
JLP05-18D02460,['ADES 600ML']
JLP05-18D02467,['ANIMAL CHOCOLATE CANDY']
JLP05-18D02476,['ADES 600ML']
JLP05-18D02489,['ADES 600ML']
JLP05-18D02506,['ADES 600ML']
JLP05-18D02536,['ADES 600ML']
JLP05-18D02541,['BUAVITA GUAVA UHT 250ML']
JLP05-18D02547,['CLASSMILD 16 BTG']
JLP05-18D02562,['CLASSMILD 16 BTG']
JLP05-18D02565,['ADES 600ML']
JLP05-18D02574,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02644,['ADES 600ML']
JLP05-18D02712,['ADES 600ML']
JLP05-18D02731,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02777,['76 FILTER GOLD ISI 12']
JLP05-18D02783,['ADES 600ML']
JLP05-18D02796,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02800,['ADES 600ML']
JLP05-18D02801,['ADES 600ML']
JLP05-18D02806,['CLASSMILD 16 BTG']
JLP05-18D02807,['ADES 600ML']
JLP05-18D02821,['CLASSMILD 16 BTG']
JLP05-18D02829,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02861,['ADES 600ML']
JLP05-18D02869,['ADES 600ML']
JLP05-18D02877,['CLASSMILD 16 BTG']
JLP05-18D02878,['CLEAR ANTI KETOMBE CSC SCT 10 ML']
JLP05-18D02887,['ADES 600ML']
JLP05-18D02892,['ADES 600ML']
JLP05-18D02903,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02907,['CLASSMILD 16 BTG']
JLP05-18D02908,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D02933,['ADES 600ML']
JLP05-18D02971,['BUAVITA GUAVA UHT 250ML']
JLP05-18D02984,['CLASSMILD 16 BTG']
JLP05-18D02988,['76 FILTER GOLD ISI 12']
JLP05-18D03007,['ADES 600ML']
JLP05-18D03017,['ANIMAL CHOCOLATE CANDY']
JLP05-18D03025,['BUAVITA GUAVA UHT 250ML']
JLP05-18D03033,['CIMORY STW BOTOL250ML']
JLP05-18D03053,['CLASSMILD 16 BTG']
JLP05-18D03058,['CORNETTO CLASICO BLACK & WHITE']
JLP05-18D03060,['ADES 600ML']
JLP05-18D03068,['CLASSMILD 16 BTG']
JLP05-18D03126,['ADES 600ML']
JLP05-18D03140,['CLASSMILD 16 BTG']
JLP05-18D03154,['BUAVITA GUAVA UHT 250ML']
JLP05-18D03176,['ADES 600ML']
JLP05-18D03182,['CLASSMILD 16 BTG']
JLP05-18D03192,['ADES 600ML']
JLP05-18D03269,['BISKUAT CKT 71.5 GR']
JLP05-18D03270,['ADES 600ML']
JLP05-18D03297,['CLASSMILD 16 BTG']
JLP05-18D03316,['CLASSMILD 16 BTG']
JLP05-18D03323,['ADES 600ML']
JLP05-18D03351,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03360,['ADES 600ML']
JLP05-18D03361,['CLASSMILD 16 BTG']
JLP05-18D03381,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03404,['CLASSMILD 16 BTG']
JLP05-18D03406,['CLASSMILD 16 BTG']
JLP05-18D03412,"['AIR MINUM ADES 1,5 L']"
JLP05-18D03424,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03435,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03437,['ADES 600ML']
JLP05-18D03444,['ANIMAL CHOCOLATE CANDY']
JLP05-18D03458,['CHARM BODYFIT NIGHT WING 35 CM']
JLP05-18D03469,['ADES 600ML']
JLP05-18D03484,['ADES 600ML']
JLP05-18D03498,['CLASSMILD 16 BTG']
JLP05-18D03554,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03563,['CLASSMILD 16 BTG']
JLP05-18D03591,['76 FILTER GOLD ISI 12']
JLP05-18D03602,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03607,['CLASSMILD 16 BTG']
JLP05-18D03613,['76 FILTER GOLD ISI 12']
JLP05-18D03628,['CLASSMILD 16 BTG']
JLP05-18D03733,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03808,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D03811,['76 FILTER GOLD ISI 12']
JLP05-18D03830,['BIORE BODY FOAM CHEERFUL CHOCOBERY 250ML']
JLP05-18D03855,['CLASSMILD 16 BTG']
JLP05-18D03881,['CLASSMILD 16 BTG']
JLP05-18D03924,['CLASSMILD 16 BTG']
JLP05-18D03934,['ANIMAL CHOCOLATE CANDY']
JLP05-18D03958,['ADES 600ML']
JLP05-18D03975,"['AIR MINUM ADES 1,5 L']"
JLP05-18D03986,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04027,['CLASSMILD 16 BTG']
JLP05-18D04073,['ADEM SARI CHING KU KLG 320 ML8992772585026']
JLP05-18D04074,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04093,['BUAVITA GUAVA UHT 250ML']
JLP05-18D04109,['CLASSMILD 16 BTG']
JLP05-18D04128,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04139,['ADES 600ML']
JLP05-18D04188,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04196,['ADES 600ML']
JLP05-18D04208,['ADES 600ML']
JLP05-18D04247,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04256,['ADES 600ML']
JLP05-18D04280,['CLASSMILD 16 BTG']
JLP05-18D04283,"['AIR MINUM ADES 1,5 L', '76 FILTER GOLD ISI 12']"
JLP05-18D04286,['ADES 600ML']
JLP05-18D04295,['BUAVITA GUAVA UHT 250ML']
JLP05-18D04299,['76 FILTER GOLD ISI 12']
JLP05-18D04306,['ADES 600ML']
JLP05-18D04344,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D04345,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04353,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04357,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04360,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04363,['CLASSMILD 16 BTG']
JLP05-18D04368,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04384,['CLASSMILD 16 BTG']
JLP05-18D04392,['ADES 600ML']
JLP05-18D04427,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D04430,['CLASSMILD 16 BTG']
JLP05-18D04438,['ADEM SARI CHING KU KLG 320 ML8992772585026']
JLP05-18D04440,['CLASSMILD 16 BTG']
JLP05-18D04466,['ANIMAL CHOCOLATE CANDY']
JLP05-18D04469,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04474,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04481,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D04488,['ADES 600ML']
JLP05-18D04503,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04513,['CLEAR ICE COOL SASET 10ML']
JLP05-18D04543,['ADES 600ML']
JLP05-18D04569,['CLEAR ANTI KETOMBE CSC SCT 10 ML']
JLP05-18D04575,['ADES 600ML']
JLP05-18D04587,['BUAVITA GUAVA UHT 250ML']
JLP05-18D04588,['ADES 600ML']
JLP05-18D04595,['ADES 600ML']
JLP05-18D04610,['ADES 600ML']
JLP05-18D04614,['76 FILTER GOLD ISI 12']
JLP05-18D04624,['CLASSMILD 16 BTG']
JLP05-18D04626,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04649,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04662,['ADES 600ML']
JLP05-18D04688,['CLASSMILD 16 BTG']
JLP05-18D04697,"['AIR MINUM ADES 1,5 L']"
JLP05-18D04715,['ADES 600ML']
JLP05-18D04738,['CLASSMILD 16 BTG']
JLP05-18D04747,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D04750,"[""CHARM EXTRA MAXI WING 5'S""]"
